logic,feature_source,training_time_seconds,model_file,perf_csv,feature_csv
bv,embeddings_combined,0.9080,bv_embeddings_combined_model.joblib,bv_train.csv,bv_description_with_features_embeddings.csv
bv,features,0.6034,bv_features_model.joblib,bv_train.csv,bv_features_filtered.csv
bv,features_embeddings,0.8712,bv_features_embeddings_model.joblib,bv_train.csv,bv_feat+emb.csv
qf_idl,embeddings,1.0572,qf_idl_embeddings_model.joblib,qf_idl_train.csv,qf_idl_description_embeddings.csv
qf_idl,embeddings_combined,1.0568,qf_idl_embeddings_combined_model.joblib,qf_idl_train.csv,qf_idl_description_with_features_embeddings.csv
qf_idl,features,0.6218,qf_idl_features_model.joblib,qf_idl_train.csv,qf_idl_features_filtered.csv
qf_idl,features_embeddings,1.0115,qf_idl_features_embeddings_model.joblib,qf_idl_train.csv,qf_idl_feat+emb.csv
qf_lia,embeddings,10.5337,qf_lia_embeddings_model.joblib,qf_lia_train.csv,qf_lia_description_embeddings.csv
qf_lia,embeddings_combined,9.7326,qf_lia_embeddings_combined_model.joblib,qf_lia_train.csv,qf_lia_description_with_features_embeddings.csv
qf_lia,features,2.1372,qf_lia_features_model.joblib,qf_lia_train.csv,qf_lia_features_filtered.csv
qf_lia,features_embeddings,11.7626,qf_lia_features_embeddings_model.joblib,qf_lia_train.csv,qf_lia_feat+emb.csv
qf_lra,embeddings,0.8657,qf_lra_embeddings_model.joblib,qf_lra_train.csv,qf_lra_description_embeddings.csv
qf_lra,embeddings_combined,0.8557,qf_lra_embeddings_combined_model.joblib,qf_lra_train.csv,qf_lra_description_with_features_embeddings.csv
qf_lra,features,0.6027,qf_lra_features_model.joblib,qf_lra_train.csv,qf_lra_features_filtered.csv
qf_lra,features_embeddings,0.8624,qf_lra_features_embeddings_model.joblib,qf_lra_train.csv,qf_lra_feat+emb.csv
qf_nra,embeddings,2.3758,qf_nra_embeddings_model.joblib,qf_nra_train.csv,qf_nra_description_embeddings.csv
qf_nra,embeddings_combined,2.3658,qf_nra_embeddings_combined_model.joblib,qf_nra_train.csv,qf_nra_description_with_features_embeddings.csv
qf_nra,features,0.8859,qf_nra_features_model.joblib,qf_nra_train.csv,qf_nra_features_filtered.csv
qf_nra,features_embeddings,2.4152,qf_nra_features_embeddings_model.joblib,qf_nra_train.csv,qf_nra_feat+emb.csv
qf_slia,embeddings,121.2447,qf_slia_embeddings_model.joblib,qf_slia_train.csv,qf_slia_description_embeddings.csv
qf_slia,embeddings_combined,156.6959,qf_slia_embeddings_combined_model.joblib,qf_slia_train.csv,qf_slia_description_with_features_embeddings.csv
qf_slia,features,27.9871,qf_slia_features_model.joblib,qf_slia_train.csv,qf_slia_features_filtered.csv
qf_slia,features_embeddings,187.4621,qf_slia_features_embeddings_model.joblib,qf_slia_train.csv,qf_slia_feat+emb.csv
uf,embeddings,1.5831,uf_embeddings_model.joblib,uf_train.csv,uf_description_embeddings.csv
uf,embeddings_combined,1.5923,uf_embeddings_combined_model.joblib,uf_train.csv,uf_description_with_features_embeddings.csv
uf,features,0.7955,uf_features_model.joblib,uf_train.csv,uf_features_filtered.csv
uf,features_embeddings,1.5097,uf_features_embeddings_model.joblib,uf_train.csv,uf_feat+emb.csv
abv,embeddings,1.2122,abv_embeddings_model.joblib,abv_train.csv,abv_description_embeddings.csv
abv,embeddings_combined,1.1593,abv_embeddings_combined_model.joblib,abv_train.csv,abv_description_with_features_embeddings.csv
abv,features,0.6031,abv_features_model.joblib,abv_train.csv,abv_features_filtered.csv
abv,features_embeddings,1.0540,abv_features_embeddings_model.joblib,abv_train.csv,abv_feat+emb.csv
alia,embeddings,0.9438,alia_embeddings_model.joblib,alia_train.csv,alia_description_embeddings.csv
alia,embeddings_combined,0.9331,alia_embeddings_combined_model.joblib,alia_train.csv,alia_description_with_features_embeddings.csv
alia,features,0.6010,alia_features_model.joblib,alia_train.csv,alia_features_filtered.csv
alia,features_embeddings,0.8714,alia_features_embeddings_model.joblib,alia_train.csv,alia_feat+emb.csv
bv,embeddings,0.9285,bv_embeddings_model.joblib,bv_train.csv,bv_description_embeddings.csv
bv,embeddings_combined,0.9297,bv_embeddings_combined_model.joblib,bv_train.csv,bv_description_with_features_embeddings.csv
bv,features,0.6005,bv_features_model.joblib,bv_train.csv,bv_features_filtered.csv
bv,features_embeddings,0.9079,bv_features_embeddings_model.joblib,bv_train.csv,bv_feat+emb.csv
qf_idl,embeddings,1.0479,qf_idl_embeddings_model.joblib,qf_idl_train.csv,qf_idl_description_embeddings.csv
qf_idl,embeddings_combined,1.0688,qf_idl_embeddings_combined_model.joblib,qf_idl_train.csv,qf_idl_description_with_features_embeddings.csv
qf_idl,features,0.6521,qf_idl_features_model.joblib,qf_idl_train.csv,qf_idl_features_filtered.csv
qf_idl,features_embeddings,1.0345,qf_idl_features_embeddings_model.joblib,qf_idl_train.csv,qf_idl_feat+emb.csv
qf_lia,embeddings,11.0102,qf_lia_embeddings_model.joblib,qf_lia_train.csv,qf_lia_description_embeddings.csv
qf_lia,embeddings_combined,9.9768,qf_lia_embeddings_combined_model.joblib,qf_lia_train.csv,qf_lia_description_with_features_embeddings.csv
qf_lia,features,2.1779,qf_lia_features_model.joblib,qf_lia_train.csv,qf_lia_features_filtered.csv
qf_lia,features_embeddings,12.1611,qf_lia_features_embeddings_model.joblib,qf_lia_train.csv,qf_lia_feat+emb.csv
qf_lra,embeddings,0.8519,qf_lra_embeddings_model.joblib,qf_lra_train.csv,qf_lra_description_embeddings.csv
qf_lra,embeddings_combined,0.8907,qf_lra_embeddings_combined_model.joblib,qf_lra_train.csv,qf_lra_description_with_features_embeddings.csv
qf_lra,features,0.6293,qf_lra_features_model.joblib,qf_lra_train.csv,qf_lra_features_filtered.csv
